Fragment,# Voices,Voice 0,Voice 1,Voice 2,Voice 3,Voice 4 (F),Voice 5,Voice 6 (F),Voice 7,Voice 8,Voice 9,Voice 10,Voice 11,Voice 12 (F),Voice 13,Summary,Eval
2133,14,runway 3-2 right,runway 3-2 right,runway 3-2 right,runway 3-2 right,runway 3-2 right,runway 3-2 right,runway 3-2 right,runway 3-2 right,runway 3-2 right,runway 3-2 right,runway 3-2 right,runway 3-2 right,runway 3-2 right,runway 3-2 right,,
2134,14,runway 3-4,runway 3-4,runway 3-4,runway 3-4,runway 3-4,runway 3-4,runway 3-4,runway 3-4,runway 3-4,runway 3-4,runway 3-4,runway 3-4,runway 3-4,runway 3-4,,
2135,14,runway 3-4 left,runway 3-4 left,runway 3-4 left,runway 3-4 left,runway 3-4 left,runway 3-4 left,runway 3-4 left,runway 3-4 left,runway 3-4 left,runway 3-4 left,runway 3-4 left,runway 3-4 left,runway 3-4 left,runway 3-4 left,,
2136,14,runway 3-4 right,runway 3-4 right,runway 3-4 right,runway 3-4 right,runway 3-4 right,runway 3-4 right,runway 3-4 right,runway 3-4 right,runway 3-4 right,runway 3-4 right,runway 3-4 right,runway 3-4 right,runway 3-4 right,runway 3-4 right,,
2137,14,runway 3-5,runway 3-5,runway 3-5,runway 3-5,runway 3-5,runway 3-5,runway 3-5,runway 3-5,runway 3-5,runway 3-5,runway 3-5,runway 3-5,runway 3-5,runway 3-5,,
2138,14,runway 3-6,runway 3-6,runway 3-6,runway 3-6,runway 3-6,runway 3-6,runway 3-6,runway 3-6,runway 3-6,runway 3-6,runway 3-6,runway 3-6,runway 3-6,runway 3-6,,
2139,14,runway 3-6 left,runway 3-6 left,runway 3-6 left,runway 3-6 left,runway 3-6 left,runway 3-6 left,runway 3-6 left,runway 3-6 left,runway 3-6 left,runway 3-6 left,runway 3-6 left,runway 3-6 left,runway 3-6 left,runway 3-6 left,runway 3-6 left,
2140,14,runway 3-6 right,runway 3-6 right,runway 3-6 right,runway 3-6 right,runway 3-6 right,runway 3-6 right,runway 3-6 right,runway 3-6 right,runway 3-6 right,runway 3-6 right,runway 3-6 right,runway 3-6 right,runway 3-6 right,runway 3-6 right,runway 3-6 right,
2141,12,attack,attack,attack,attack,attack,attack,attack,attack,attack,attack,attack,attack,,,attack,
2142,12,(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),,,(Key Mike),
2143,0,,,,,,,,,,,,,,,,
2144,2,,,,,,,,,,,,,orbit for spacing,orbit for spacing,orbit for spacing,
2145,2,,,,,,,,,,,,,expect further vectors in,expect further vectors in,expect further vectors in,
2146,2,,,,,,,,,,,,,orbit for spacing,orbit for spacing,orbit for spacing,
2147,2,,,,,,,,,,,,,divert to,divert to,divert to,
2148,2,,,,,,,,,,,,,bearing,bearing,bearing,
2149,2,,,,,,,,,,,,,switch to TACAN channel,switch to TACAN channel,switch to TACAN channel,
2150,2,,,,,,,,,,,,,you are causing a traffic conflict,you are causing a traffic conflict,you are causing a traffic conflict,
2151,2,,,,,,,,,,,,,traffic,traffic,traffic,
2152,2,,,,,,,,,,,,,you are causing a traffic conflict,you are causing a traffic conflict,you are causing a traffic conflict,
2153,2,,,,,,,,,,,,,traffic,traffic,traffic,
2154,2,,,,,,,,,,,,,traffic now,traffic now,traffic now,
2155,2,,,,,,,,,,,,,follow,follow,follow,
2156,2,,,,,,,,,,,,,check gear down,check gear down,check gear down,
2157,2,,,,,,,,,,,,,vector,vector,vector,
2158,2,,,,,,,,,,,,,cleared for departure,cleared for departure,cleared for departure,
2159,2,,,,,,,,,,,,,taxi clear of the runway,taxi clear of the runway,taxi clear of the runway,
2160,2,,,,,,,,,,,,,position and hold,position and hold,position and hold,
2161,2,,,,,,,,,,,,,taxi,taxi,taxi,
2162,2,,,,,,,,,,,,,taxi in sequence,taxi in sequence,taxi in sequence,
2163,2,,,,,,,,,,,,,fly present heading,fly present heading,fly present heading,
2164,2,,,,,,,,,,,,,fly heading,fly heading,fly heading,
2165,2,,,,,,,,,,,,,Give way to,Give way to,Give way to,
2166,2,,,,,,,,,,,,,taxiing,taxiing,taxiing,
2167,2,,,,,,,,,,,,,depart heading,depart heading,depart heading,
2168,2,,,,,,,,,,,,,stop turn,stop turn,stop turn,
2169,2,,,,,,,,,,,,,resume own navigation,resume own navigation,resume own navigation,
2170,2,,,,,,,,,,,,,barrier cable indicates up,barrier cable indicates up,barrier cable indicates up,
2171,2,,,,,,,,,,,,,barrier cable indicates down,barrier cable indicates down,barrier cable indicates down,
2172,2,,,,,,,,,,,,,disabled aircraft on runway,disabled aircraft on runway,disabled aircraft on runway,
2173,2,,,,,,,,,,,,,men and equipment on runway,men and equipment on runway,men and equipment on runway,
2174,2,,,,,,,,,,,,,runway in use,runway in use,runway in use,
2175,2,,,,,,,,,,,,,perform landing check,perform landing check,perform landing check,
2176,2,,,,,,,,,,,,,fly runway heading,fly runway heading,fly runway heading,
2177,2,,,,,,,,,,,,,"you are outside my airspace, contact me 30 miles out","you are outside my airspace, contact me 30 miles out","you are outside my airspace, contact me 30 miles out",
2178,2,,,,,,,,,,,,,"you are outside my airspace, contact me at 30 miles","you are outside my airspace, contact me at 30 miles","you are outside my airspace, contact me at 30 miles",
2179,2,,,,,,,,,,,,,"you are outside my airspace, contact me at 20 miles","you are outside my airspace, contact me at 20 miles","you are outside my airspace, contact me at 20 miles",
2180,2,,,,,,,,,,,,,"you are outside my airspace, contact me at 10 miles","you are outside my airspace, contact me at 10 miles","you are outside my airspace, contact me at 10 miles",
2181,2,,,,,,,,,,,,,Good morning,Good morning,Good morning,
2182,2,,,,,,,,,,,,,Good evening,Good evening,Good evening,
2183,2,,,,,,,,,,,,,Good afternoon,Good afternoon,Good afternoon,
2184,2,,,,,,,,,,,,,"take spacing and continue inbound, expect vectors","take spacing and continue inbound, expect vectors","take spacing and continue inbound, expect vectors",
2185,2,,,,,,,,,,,,,take spacing and expect vectors to,take spacing and expect vectors to,take spacing and expect vectors to,
2186,2,,,,,,,,,,,,,"continue inbound, expect vectors","continue inbound, expect vectors","continue inbound, expect vectors",
2187,2,,,,,,,,,,,,,continue inbound for,continue inbound for,continue inbound for,
2188,2,,,,,,,,,,,,,I hear you lit 'em up out there Good show!,I hear you lit 'em up out there Good show!,I hear you lit 'em up out there Good show!,
"2189,2,,,,,,,,,,,,,"by the way your BDA is back already, Good job!","by the way your BDA is back already Good job!","by the way your BDA is back already Good job!",
2190,2,,,,,,,,,,,,,tough mission huh?,tough mission huh?,tough mission huh?,
2191,2,,,,,,,,,,,,,we heard you had a rough time out there,we heard you had a rough time out there,we heard you had a rough time out there,
2192,2,,,,,,,,,,,,,welcome back,welcome back,welcome back,
2193,2,,,,,,,,,,,,,take spacing and continue inbound,take spacing and continue inbound,take spacing and continue inbound,
2194,2,,,,,,,,,,,,,take spacing,take spacing,take spacing,
2195,2,,,,,,,,,,,,,continue inbound,continue inbound,continue inbound,
2196,2,,,,,,,,,,,,,"Good morning, take spacing and continue inbound","Good morning, take spacing and continue inbound","Good morning, take spacing and continue inbound",
2197,2,,,,,,,,,,,,,"Good evening, take spacing and continue inbound","Good evening, take spacing and continue inbound","Good evening, take spacing and continue inbound",
2198,2,,,,,,,,,,,,,"Good afternoon, take spacing and continue inbound","Good afternoon, take spacing and continue inbound","Good afternoon, take spacing and continue inbound",
2199,2,,,,,,,,,,,,,"Good morning, take spacing","Good morning, take spacing","Good morning, take spacing",
2200,2,,,,,,,,,,,,,"Good evening, take spacing","Good evening, take spacing","Good evening, take spacing",
2201,2,,,,,,,,,,,,,"Good afternoon, take spacing","Good afternoon, take spacing","Good afternoon, take spacing",
2202,2,,,,,,,,,,,,,"Good morning, continue inbound","Good morning, continue inbound","Good morning, continue inbound",
2203,2,,,,,,,,,,,,,"Good evening, continue inbound","Good evening, continue inbound","Good evening, continue inbound",
2204,2,,,,,,,,,,,,,"Good afternoon, continue inbound","Good afternoon, continue inbound","Good afternoon, continue inbound",
2205,2,,,,,,,,,,,,,climb and maintain,climb and maintain,climb and maintain,
2206,2,,,,,,,,,,,,,descend and maintain,descend and maintain,descend and maintain,
2207,2,,,,,,,,,,,,,maintain slowest practical speed,maintain slowest practical speed,maintain slowest practical speed,
2208,2,,,,,,,,,,,,,maintain 1-1-0 knots,maintain 1-1-0 knots,maintain 1-1-0 knots,
2209,2,,,,,,,,,,,,,maintain 1-2-0 knots,maintain 1-2-0 knots,maintain 1-2-0 knots,
2210,2,,,,,,,,,,,,,maintain 1-3-0 knots,maintain 1-3-0 knots,maintain 1-3-0 knots,
2211,2,,,,,,,,,,,,,maintain 1-4-0 knots,maintain 1-4-0 knots,maintain 1-4-0 knots,
2212,2,,,,,,,,,,,,,maintain 1-5-0 knots,maintain 1-5-0 knots,maintain 1-5-0 knots,
2213,2,,,,,,,,,,,,,maintain 1-6-0 knots,maintain 1-6-0 knots,maintain 1-6-0 knots,
2214,2,,,,,,,,,,,,,maintain 1-7-0 knots,maintain 1-7-0 knots,maintain 1-7-0 knots,
2215,2,,,,,,,,,,,,,maintain 1-8-0 knots,maintain 1-8-0 knots,maintain 1-8-0 knots,
2216,2,,,,,,,,,,,,,maintain 1-9-0 knots,maintain 1-9-0 knots,maintain 1-9-0 knots,
2217,2,,,,,,,,,,,,,maintain 2-0-0 knots,maintain 2-0-0 knots,maintain 2-0-0 knots,
2218,2,,,,,,,,,,,,,maintain 2-1-0 knots,maintain 2-1-0 knots,maintain 2-1-0 knots,
2219,2,,,,,,,,,,,,,maintain 2-2-0 knots,maintain 2-2-0 knots,maintain 2-2-0 knots,
2220,2,,,,,,,,,,,,,maintain 2-3-0 knots,maintain 2-3-0 knots,maintain 2-3-0 knots,
2221,2,,,,,,,,,,,,,maintain 2-4-0 knots,maintain 2-4-0 knots,maintain 2-4-0 knots,
2222,2,,,,,,,,,,,,,maintain 2-5-0 knots,maintain 2-5-0 knots,maintain 2-5-0 knots,
2223,2,,,,,,,,,,,,,maintain 2-6-0 knots,maintain 2-6-0 knots,maintain 2-6-0 knots,
2224,2,,,,,,,,,,,,,maintain 2-7-0 knots,maintain 2-7-0 knots,maintain 2-7-0 knots,
2225,2,,,,,,,,,,,,,maintain 2-8-0 knots,maintain 2-8-0 knots,maintain 2-8-0 knots,
2226,2,,,,,,,,,,,,,maintain 2-9-0 knots,maintain 2-9-0 knots,maintain 2-9-0 knots,
2227,2,,,,,,,,,,,,,maintain 3-0-0 knots,maintain 3-0-0 knots,maintain 3-0-0 knots,
2228,2,,,,,,,,,,,,,maintain 3-1-0 knots,maintain 3-1-0 knots,maintain 3-1-0 knots,
2229,2,,,,,,,,,,,,,maintain 3-2-0 knots,maintain 3-2-0 knots,maintain 3-2-0 knots,
2230,2,,,,,,,,,,,,,maintain 3-3-0 knots,maintain 3-3-0 knots,maintain 3-3-0 knots,
2231,2,,,,,,,,,,,,,maintain 3-4-0 knots,maintain 3-4-0 knots,maintain 3-4-0 knots,
2232,2,,,,,,,,,,,,,maintain 3-5-0 knots,maintain 3-5-0 knots,maintain 3-5-0 knots,
2233,2,,,,,,,,,,,,,maintain 3-6-0 knots,maintain 3-6-0 knots,maintain 3-6-0 knots,
2234,2,,,,,,,,,,,,,maintain 3-7-0 knots,maintain 3-7-0 knots,maintain 3-7-0 knots,
2235,2,,,,,,,,,,,,,maintain 3-8-0 knots,maintain 3-8-0 knots,maintain 3-8-0 knots,
2236,2,,,,,,,,,,,,,maintain 3-9-0 knots,maintain 3-9-0 knots,maintain 3-9-0 knots,
2237,2,,,,,,,,,,,,,maintain 4-0-0 knots,maintain 4-0-0 knots,maintain 4-0-0 knots,
2238,2,,,,,,,,,,,,,maintain 4-1-0 knots,maintain 4-1-0 knots,maintain 4-1-0 knots,
2239,2,,,,,,,,,,,,,maintain 4-2-0 knots,maintain 4-2-0 knots,maintain 4-2-0 knots,
2240,2,,,,,,,,,,,,,maintain 4-3-0 knots,maintain 4-3-0 knots,maintain 4-3-0 knots,
2241,2,,,,,,,,,,,,,maintain 4-4-0 knots,maintain 4-4-0 knots,maintain 4-4-0 knots,
2242,2,,,,,,,,,,,,,maintain 4-5-0 knots,maintain 4-5-0 knots,maintain 4-5-0 knots,
2243,2,,,,,,,,,,,,,maintain maximum forward speed,maintain maximum forward speed,maintain maximum forward speed,
2244,2,,,,,,,,,,,,,reduce speed to 1-1-0 knots,reduce speed to 1-1-0 knots,reduce speed to 1-1-0 knots,
2245,2,,,,,,,,,,,,,reduce speed to 1-2-0 knots,reduce speed to 1-2-0 knots,reduce speed to 1-2-0 knots,
2246,2,,,,,,,,,,,,,reduce speed to 1-3-0 knots,reduce speed to 1-3-0 knots,reduce speed to 1-3-0 knots,
2247,2,,,,,,,,,,,,,reduce speed to 1-4-0 knots,reduce speed to 1-4-0 knots,reduce speed to 1-4-0 knots,
2248,2,,,,,,,,,,,,,reduce speed to 1-5-0 knots,reduce speed to 1-5-0 knots,reduce speed to 1-5-0 knots,
2249,2,,,,,,,,,,,,,reduce speed to 1-6-0 knots,reduce speed to 1-6-0 knots,reduce speed to 1-6-0 knots,
2250,2,,,,,,,,,,,,,reduce speed to 1-7-0 knots,reduce speed to 1-7-0 knots,reduce speed to 1-7-0 knots,
2251,2,,,,,,,,,,,,,reduce speed to 1-8-0 knots,reduce speed to 1-8-0 knots,reduce speed to 1-8-0 knots,
2252,2,,,,,,,,,,,,,reduce speed to 1-9-0 knots,reduce speed to 1-9-0 knots,reduce speed to 1-9-0 knots,
2253,2,,,,,,,,,,,,,reduce speed to 2-0-0 knots,reduce speed to 2-0-0 knots,reduce speed to 2-0-0 knots,
2254,2,,,,,,,,,,,,,reduce speed to 2-1-0 knots,reduce speed to 2-1-0 knots,reduce speed to 2-1-0 knots,
2255,2,,,,,,,,,,,,,reduce speed to 2-2-0 knots,reduce speed to 2-2-0 knots,reduce speed to 2-2-0 knots,
2256,2,,,,,,,,,,,,,reduce speed to 2-3-0 knots,reduce speed to 2-3-0 knots,reduce speed to 2-3-0 knots,
2257,2,,,,,,,,,,,,,reduce speed to 2-4-0 knots,reduce speed to 2-4-0 knots,reduce speed to 2-4-0 knots,
2258,2,,,,,,,,,,,,,reduce speed to 2-5-0 knots,reduce speed to 2-5-0 knots,reduce speed to 2-5-0 knots,
2259,2,,,,,,,,,,,,,reduce speed to 2-6-0 knots,reduce speed to 2-6-0 knots,reduce speed to 2-6-0 knots,
2260,2,,,,,,,,,,,,,reduce speed to 2-7-0 knots,reduce speed to 2-7-0 knots,reduce speed to 2-7-0 knots,
2261,2,,,,,,,,,,,,,reduce speed to 2-8-0 knots,reduce speed to 2-8-0 knots,reduce speed to 2-8-0 knots,
2262,2,,,,,,,,,,,,,reduce speed to 2-9-0 knots,reduce speed to 2-9-0 knots,reduce speed to 2-9-0 knots,
2263,2,,,,,,,,,,,,,reduce speed to 3-0-0 knots,reduce speed to 3-0-0 knots,reduce speed to 3-0-0 knots,
2264,2,,,,,,,,,,,,,reduce speed to 3-1-0 knots,reduce speed to 3-1-0 knots,reduce speed to 3-1-0 knots,
2265,2,,,,,,,,,,,,,reduce speed to 3-2-0 knots,reduce speed to 3-2-0 knots,reduce speed to 3-2-0 knots,
2266,2,,,,,,,,,,,,,reduce speed to 3-3-0 knots,reduce speed to 3-3-0 knots,reduce speed to 3-3-0 knots,
2267,2,,,,,,,,,,,,,reduce speed to 3-4-0 knots,reduce speed to 3-4-0 knots,reduce speed to 3-4-0 knots,
2268,2,,,,,,,,,,,,,reduce speed to 3-5-0 knots,reduce speed to 3-5-0 knots,reduce speed to 3-5-0 knots,
2269,2,,,,,,,,,,,,,reduce speed to 3-6-0 knots,reduce speed to 3-6-0 knots,reduce speed to 3-6-0 knots,
2270,2,,,,,,,,,,,,,reduce speed to 3-7-0 knots,reduce speed to 3-7-0 knots,reduce speed to 3-7-0 knots,
2271,2,,,,,,,,,,,,,reduce speed to 3-8-0 knots,reduce speed to 3-8-0 knots,reduce speed to 3-8-0 knots,
2272,2,,,,,,,,,,,,,reduce speed to 3-9-0 knots,reduce speed to 3-9-0 knots,reduce speed to 3-9-0 knots,
2273,2,,,,,,,,,,,,,reduce speed to 4-0-0 knots,reduce speed to 4-0-0 knots,reduce speed to 4-0-0 knots,
2274,2,,,,,,,,,,,,,reduce speed to 4-1-0 knots,reduce speed to 4-1-0 knots,reduce speed to 4-1-0 knots,
2275,2,,,,,,,,,,,,,reduce speed to 4-2-0 knots,reduce speed to 4-2-0 knots,reduce speed to 4-2-0 knots,
2276,2,,,,,,,,,,,,,reduce speed to 4-3-0 knots,reduce speed to 4-3-0 knots,reduce speed to 4-3-0 knots,
2277,2,,,,,,,,,,,,,reduce speed to 4-4-0 knots,reduce speed to 4-4-0 knots,reduce speed to 4-4-0 knots,
2278,2,,,,,,,,,,,,,reduce speed to 4-5-0 knots,reduce speed to 4-5-0 knots,reduce speed to 4-5-0 knots,
2279,2,,,,,,,,,,,,,increase speed to 1-1-0 knots,increase speed to 1-1-0 knots,increase speed to 1-1-0 knots,
2280,2,,,,,,,,,,,,,increase speed to 1-2-0 knots,increase speed to 1-2-0 knots,increase speed to 1-2-0 knots,
2281,2,,,,,,,,,,,,,increase speed to 1-3-0 knots,increase speed to 1-3-0 knots,increase speed to 1-3-0 knots,
2282,2,,,,,,,,,,,,,increase speed to 1-4-0 knots,increase speed to 1-4-0 knots,increase speed to 1-4-0 knots,
2283,2,,,,,,,,,,,,,increase speed to 1-5-0 knots,increase speed to 1-5-0 knots,increase speed to 1-5-0 knots,
2284,2,,,,,,,,,,,,,increase speed to 1-6-0 knots,increase speed to 1-6-0 knots,increase speed to 1-6-0 knots,
2285,2,,,,,,,,,,,,,increase speed to 1-7-0 knots,increase speed to 1-7-0 knots,increase speed to 1-7-0 knots,
2286,2,,,,,,,,,,,,,increase speed to 1-8-0 knots,increase speed to 1-8-0 knots,increase speed to 1-8-0 knots,
2287,2,,,,,,,,,,,,,increase speed to 1-9-0 knots,increase speed to 1-9-0 knots,increase speed to 1-9-0 knots,
2288,2,,,,,,,,,,,,,increase speed to 2-0-0 knots,increase speed to 2-0-0 knots,increase speed to 2-0-0 knots,
2289,2,,,,,,,,,,,,,increase speed to 2-1-0 knots,increase speed to 2-1-0 knots,increase speed to 2-1-0 knots,
2290,2,,,,,,,,,,,,,increase speed to 2-2-0 knots,increase speed to 2-2-0 knots,increase speed to 2-2-0 knots,
2291,2,,,,,,,,,,,,,increase speed to 2-3-0 knots,increase speed to 2-3-0 knots,increase speed to 2-3-0 knots,
2292,2,,,,,,,,,,,,,increase speed to 2-4-0 knots,increase speed to 2-4-0 knots,increase speed to 2-4-0 knots,
2293,2,,,,,,,,,,,,,increase speed to 2-5-0 knots,increase speed to 2-5-0 knots,increase speed to 2-5-0 knots,
2294,2,,,,,,,,,,,,,increase speed to 2-6-0 knots,increase speed to 2-6-0 knots,increase speed to 2-6-0 knots,
2295,2,,,,,,,,,,,,,increase speed to 2-7-0 knots,increase speed to 2-7-0 knots,increase speed to 2-7-0 knots,
2296,2,,,,,,,,,,,,,increase speed to 2-8-0 knots,increase speed to 2-8-0 knots,increase speed to 2-8-0 knots,
2297,2,,,,,,,,,,,,,increase speed to 2-9-0 knots,increase speed to 2-9-0 knots,increase speed to 2-9-0 knots,
2298,2,,,,,,,,,,,,,increase speed to 3-0-0 knots,increase speed to 3-0-0 knots,increase speed to 3-0-0 knots,
2299,2,,,,,,,,,,,,,increase speed to 3-1-0 knots,increase speed to 3-1-0 knots,increase speed to 3-1-0 knots,
2300,2,,,,,,,,,,,,,increase speed to 3-2-0 knots,increase speed to 3-2-0 knots,increase speed to 3-2-0 knots,
2301,2,,,,,,,,,,,,,increase speed to 3-3-0 knots,increase speed to 3-3-0 knots,increase speed to 3-3-0 knots,
2302,2,,,,,,,,,,,,,increase speed to 3-4-0 knots,increase speed to 3-4-0 knots,increase speed to 3-4-0 knots,
2303,2,,,,,,,,,,,,,increase speed to 3-5-0 knots,increase speed to 3-5-0 knots,increase speed to 3-5-0 knots,
2304,2,,,,,,,,,,,,,increase speed to 3-6-0 knots,increase speed to 3-6-0 knots,increase speed to 3-6-0 knots,
2305,2,,,,,,,,,,,,,increase speed to 3-7-0 knots,increase speed to 3-7-0 knots,increase speed to 3-7-0 knots,
2306,2,,,,,,,,,,,,,increase speed to 3-8-0 knots,increase speed to 3-8-0 knots,increase speed to 3-8-0 knots,
2307,2,,,,,,,,,,,,,increase speed to 3-9-0 knots,increase speed to 3-9-0 knots,increase speed to 3-9-0 knots,
2308,2,,,,,,,,,,,,,increase speed to 4-0-0 knots,increase speed to 4-0-0 knots,increase speed to 4-0-0 knots,
2309,2,,,,,,,,,,,,,increase speed to 4-1-0 knots,increase speed to 4-1-0 knots,increase speed to 4-1-0 knots,
2310,2,,,,,,,,,,,,,increase speed to 4-2-0 knots,increase speed to 4-2-0 knots,increase speed to 4-2-0 knots,
2311,2,,,,,,,,,,,,,increase speed to 4-3-0 knots,increase speed to 4-3-0 knots,increase speed to 4-3-0 knots,
2312,2,,,,,,,,,,,,,increase speed to 4-4-0 knots,increase speed to 4-4-0 knots,increase speed to 4-4-0 knots,
2313,2,,,,,,,,,,,,,increase speed to 4-5-0 knots,increase speed to 4-5-0 knots,increase speed to 4-5-0 knots,
2314,2,,,,,,,,,,,,,increase speed to 4-6-0 knots,increase speed to 4-6-0 knots,increase speed to 4-6-0 knots,
2315,2,,,,,,,,,,,,,increase speed to 4-7-0 knots,increase speed to 4-7-0 knots,increase speed to 4-7-0 knots,
2316,2,,,,,,,,,,,,,increase speed to 4-8-0 knots,increase speed to 4-8-0 knots,increase speed to 4-8-0 knots,
2317,2,,,,,,,,,,,,,increase speed to 4-9-0 knots,increase speed to 4-9-0 knots,increase speed to 4-9-0 knots,
2318,2,,,,,,,,,,,,,increase speed to 5-0-0 knots,increase speed to 5-0-0 knots,increase speed to 5-0-0 knots,
2319,2,,,,,,,,,,,,,increase speed to 5-1-0 knots,increase speed to 5-1-0 knots,increase speed to 5-1-0 knots,
2320,2,,,,,,,,,,,,,increase speed to 5-2-0 knots,increase speed to 5-2-0 knots,increase speed to 5-2-0 knots,
2321,2,,,,,,,,,,,,,increase speed to 5-3-0 knots,increase speed to 5-3-0 knots,increase speed to 5-3-0 knots,
2322,2,,,,,,,,,,,,,increase speed to 5-4-0 knots,increase speed to 5-4-0 knots,increase speed to 5-4-0 knots,
2323,2,,,,,,,,,,,,,increase speed to 5-5-0 knots,increase speed to 5-5-0 knots,increase speed to 5-5-0 knots,
2324,2,,,,,,,,,,,,,increase speed to 5-6-0 knots,increase speed to 5-6-0 knots,increase speed to 5-6-0 knots,
2325,2,,,,,,,,,,,,,increase speed to 5-7-0 knots,increase speed to 5-7-0 knots,increase speed to 5-7-0 knots,
2326,2,,,,,,,,,,,,,increase speed to 5-8-0 knots,increase speed to 5-8-0 knots,increase speed to 5-8-0 knots,
2327,2,,,,,,,,,,,,,increase speed to 5-9-0 knots,increase speed to 5-9-0 knots,increase speed to 5-9-0 knots,
2328,2,,,,,,,,,,,,,turn left heading,turn left heading,turn left heading,
2329,2,,,,,,,,,,,,,turn right heading,turn right heading,turn right heading,
2330,2,,,,,,,,,,,,,vectors to final,vectors to final,vectors to final,
2331,2,,,,,,,,,,,,,vectors to right base,vectors to right base,vectors to right base,
2332,2,,,,,,,,,,,,,vectors to left base,vectors to left base,vectors to left base,
2333,2,,,,,,,,,,,,,vectors to ILS approach,vectors to ILS approach,vectors to ILS approach,
2334,2,,,,,,,,,,,,,vectors to radar approach,vectors to radar approach,vectors to radar approach,
2335,2,,,,,,,,,,,,,vectors for straight in approach,vectors for straight in approach,vectors for straight in approach,
2336,2,,,,,,,,,,,,,vectors for VOR approach,vectors for VOR approach,vectors for VOR approach,
2337,2,,,,,,,,,,,,,turn right to final approach course,turn right to final approach course,turn right to final approach course,
2338,2,,,,,,,,,,,,,turn left to final approach course,turn left to final approach course,turn left to final approach course,
2339,2,,,,,,,,,,,,,maintain final approach course,maintain final approach course,maintain final approach course,
2340,2,,,,,,,,,,,,,slow to approach speed,slow to approach speed,slow to approach speed,
2341,2,,,,,,,,,,,,,check speed,check speed,check speed,
2342,2,,,,,,,,,,,,,check approach speed,check approach speed,check approach speed,
2343,2,,,,,,,,,,,,,"you've just cut off another aircraft, watch it out there!","you've just cut off another aircraft, watch it out there!","you've just cut off another aircraft, watch it out there!",
2344,2,,,,,,,,,,,,,"you are causing a traffic conflict,  contact approach for sequencing or depart the area","you are causing a traffic conflict,  contact approach for sequencing or depart the area","you are causing a traffic conflict,  contact approach for sequencing or depart the area",
2345,2,,,,,,,,,,,,,"you are number 1 to land, check gear down","you are number 1 to land, check gear down","you are number 1 to land, check gear down",
2346,2,,,,,,,,,,,,,you are number 2 to land,you are number 2 to land,you are number 2 to land,
2347,2,,,,,,,,,,,,,you are number 3,you are number 3,you are number 3,
2348,2,,,,,,,,,,,,,you are number 4 to land,you are number 4 to land,you are number 4 to land,
2349,2,,,,,,,,,,,,,you are number 5 to land,you are number 5 to land,you are number 5 to land,
2350,2,,,,,,,,,,,,,you are number 6 to land,you are number 6 to land,you are number 6 to land,
2351,2,,,,,,,,,,,,,you are number 7 to land,you are number 7 to land,you are number 7 to land,
2352,2,,,,,,,,,,,,,you are number 8 to land,you are number 8 to land,you are number 8 to land,
2353,2,,,,,,,,,,,,,you are number 9,you are number 9,you are number 9,
2354,2,,,,,,,,,,,,,you are number 10 to land,you are number 10 to land,you are number 10 to land,
2355,2,,,,,,,,,,,,,go around!,go around!,go around!,
2356,2,,,,,,,,,,,,,execute missed approach,execute missed approach,execute missed approach,
2357,2,,,,,,,,,,,,,abort landing,abort landing,abort landing,
2358,2,,,,,,,,,,,,,"go around, runway is closed","go around, runway is closed","go around, runway is closed",
2359,2,,,,,,,,,,,,,"execute missed approach, runway is closed","execute missed approach, runway is closed","execute missed approach, runway is closed",
2360,2,,,,,,,,,,,,,"abort landing, runway unsafe","abort landing, runway unsafe","abort landing, runway unsafe",
2361,2,,,,,,,,,,,,,"go around, runway unsafe","go around, runway unsafe","go around, runway unsafe",
2362,2,,,,,,,,,,,,,"execute missed approach, runway unsafe","execute missed approach, runway unsafe","execute missed approach, runway unsafe",
2363,2,,,,,,,,,,,,,"abort landing, runway fouled","abort landing, runway fouled","abort landing, runway fouled",
2364,2,,,,,,,,,,,,,"execute missed approach, runway is fouled","execute missed approach, runway is fouled","execute missed approach, runway is fouled",
2365,2,,,,,,,,,,,,,"tower clearance cancelled, runway unsafe","tower clearance cancelled, runway unsafe","tower clearance cancelled, runway unsafe",
2366,2,,,,,,,,,,,,,"execute missed approach, clearance cancelled","execute missed approach, clearance cancelled","execute missed approach, clearance cancelled",
2367,2,,,,,,,,,,,,,contact approach for re-sequencing,contact approach for re-sequencing,contact approach for re-sequencing,
2368,2,,,,,,,,,,,,,contact approach when able or divert to your alternate,contact approach when able or divert to your alternate,contact approach when able or divert to your alternate,
2369,2,,,,,,,,,,,,,contact approach when able,contact approach when able,contact approach when able,
2370,2,,,,,,,,,,,,,contact approach,contact approach,contact approach,
2371,2,,,,,,,,,,,,,contact tower,contact tower,contact tower,
2372,2,,,,,,,,,,,,,contact departure,contact departure,contact departure,
2373,2,,,,,,,,,,,,,"hold short, landing aircraft","hold short, landing aircraft","hold short, landing aircraft",
2374,2,,,,,,,,,,,,,"hold short, arriving traffic","hold short, arriving traffic","hold short, arriving traffic",
2375,2,,,,,,,,,,,,,"hold short, landing traffic","hold short, landing traffic","hold short, landing traffic",
2376,2,,,,,,,,,,,,,"hold short, arriving aircraft","hold short, arriving aircraft","hold short, arriving aircraft",
